doctor_id,name,last_name,specialization,phone,email
1,Chị Dương Trần,Nguyễn,Miễn dịch,+84-25-381 8379,lejane@example.com
2,Chị Duyên Hoàng,Trần,Chấn thương chỉnh hình,+84-34-224226,janedang@example.net
3,Quang Mai Trần,Mai,Mắt,(05) 6165 0264,cbui@example.com
4,Khoa Mai,Lê,Tim mạch,(00) 4700 4197,maijane@example.net
5,Thành Hữu Nguyễn,Mai,Tiết niệu,02 6805989,johnhoang@example.org
6,Bà Thành Đặng,Lê,Tâm thần,(04) 6123 6935,xmai@example.com
7,Bà Hồng Trần,Mai,Chấn thương chỉnh hình,+84 41 9115567,hoangjane@example.net
8,Thành Đặng,Bùi,Tiết niệu,(08) 6652 9006,bdang@example.org
9,Hưng Phú Bùi,Dương,Miễn dịch,05 1162 7584,mduong@example.org
10,Ánh Mai,Dương,Ung bướu,00 1543 8370,hoangjohn@example.org
11,Minh Trần,Bùi,Tổng quát,+84 86 6555634,wpham@example.com
12,Chị Xuân Đặng,Lê,Da liễu,00 5825741,maijane@example.com
13,Thành Trần,Nguyễn,Sản phụ khoa,(02)953-7160,jane69@example.com
14,Dũng Phạm,Trần,Tim mạch,+84 92 8583322,tranjohn@example.org
15,Nhật Phú Trần,Phạm,Ung bướu,+84-24-207883,buijohn@example.com
16,Chị Hà Nguyễn,Dương,Tim mạch,+84-31-731 5241,john16@example.net
17,Nhật Thị Trần,Đặng,Tim mạch,01 2337 1621,jane15@example.org
18,Thành Hoàng Vũ,Bùi,Chấn thương chỉnh hình,(04)282-2136,dangjane@example.com
19,Quý ông Quang Dương,Phạm,Tâm thần,+84-13-945120,john94@example.net
20,Nam Thị Phạm,Lê,Cơ xương khớp,06 2458777,phamjane@example.org
21,An Nguyễn,Trần,Cơ xương khớp,(09) 6384 4616,dangjane@example.org
22,Nhật Đặng,Phạm,Tâm thần,+84 12 8254279,hoangjane@example.com
23,Quý cô Nhật Nguyễn,Phạm,Hô hấp,05 8152267,janeduong@example.org
24,Quý cô Lan Dương,Nguyễn,Mắt,+84-40-036592,cmai@example.org
25,Hoàng Trí Phạm,Trần,Tai Mũi Họng,+84-90-394 1731,jane96@example.net
26,Bà Lâm Phạm,Vũ,Mắt,+84-00-378 5920,jbui@example.org
27,Tú Dương,Mai,Mắt,07 5313904,jane32@example.com
28,Hải Phú Trần,Vũ,Nhi khoa,+84-32-504 7763,john93@example.org
29,Kim Dương,Dương,Mắt,(09)386-3404,jane66@example.org
30,Cô Lâm Trần,Mai,Miễn dịch,(04)166-1246,tranjohn@example.org
31,Cô Hạnh Hoàng,Đặng,Da liễu,08 6950 0177,dhoang@example.net
32,Chị Chi Trần,Lê,Tim mạch,+84 27 2372253,ptran@example.com
33,Hải Đức Mai,Mai,Sản phụ khoa,+84-95-872 0888,xbui@example.net
34,Hà Bùi,Mai,Tai Mũi Họng,00 8920805,tranjohn@example.net
35,Trung Bùi,Lê,Cơ xương khớp,+84-01-055465,otran@example.net
36,Bà Hải Dương,Mai,Ung bướu,+84-51-386563,fbui@example.net
37,Minh Vũ,Trần,Tâm thần,05 0091854,tduong@example.com
38,Quý cô Linh Nguyễn,Phạm,Nhi khoa,+84-83-394 0063,john42@example.net
39,Dũng Hoàng Hoàng,Trần,Nhi khoa,07 3874 6514,opham@example.org
40,Hải Đặng,Nguyễn,Miễn dịch,01 6994 0302,jane32@example.com
41,Bảo Nguyễn,Mai,Tâm thần,+84-22-762208,john93@example.com
42,Cô Lâm Lê,Nguyễn,Tổng quát,+84 83 0036984,xduong@example.com
43,Ông Quang Phạm,Lê,Hô hấp,+84 94 4617082,johnmai@example.net
44,Bà Dương Hoàng,Bùi,Tổng quát,+84 03 1432253,maijane@example.net
45,Quý cô Dương Lê,Trần,Tâm thần,+84-30-606 5272,jane34@example.org
46,Bác Tú Vũ,Đặng,Da liễu,(03) 0654 1564,fbui@example.org
47,Hải Mai,Bùi,Thần kinh,06 5161006,buijane@example.com
48,Quý ông Trọng Vũ,Nguyễn,Mắt,00 1029523,jane39@example.net
49,Khoa Hoàng,Vũ,Tổng quát,+84-66-874325,phamjohn@example.org
50,Yến Hoàng,Mai,Sản phụ khoa,+84-22-632806,duongjane@example.net
51,Quý cô An Bùi,Nguyễn,Mắt,(06)812-9524,phamjane@example.com
52,Anh Quang Hoàng,Lê,Ung bướu,(03) 0768 5117,johnvu@example.org
53,Hoàng Tấn Vũ,Đặng,Tim mạch,(04) 2554 4872,wnguyen@example.net
54,Quý cô Thành Mai,Phạm,Tai Mũi Họng,+84-02-444 9341,jane02@example.com
55,Ông Quang Vũ,Vũ,Hô hấp,+84-03-398316,janevu@example.net
56,Bảo Phạm,Dương,Tâm thần,+84 92 0832178,johndang@example.com
57,Chi Trần,Vũ,Chấn thương chỉnh hình,(00) 2146 0408,vujohn@example.com
58,Quý cô Dương Bùi,Phạm,Mắt,+84-25-519021,john98@example.com
59,Hà Hoàng,Vũ,Nội tiết,+84-90-264 3987,phamjohn@example.org
60,Thành Tấn Dương,Phạm,Thần kinh,+84 69 3908109,janele@example.com
61,Duyên Bùi,Dương,Da liễu,(07)807-6331,johnnguyen@example.com
62,Quý cô Khoa Vũ,Trần,Cơ xương khớp,+84 16 8759110,hoangjohn@example.net
63,Quý cô Hà Lê,Bùi,Da liễu,+84 19 8850598,ibui@example.org
64,Minh Mai Dương,Dương,Tim mạch,(00) 4273 5881,tranjohn@example.com
65,Cô Nhật Hoàng,Dương,Tai Mũi Họng,(02)839-0502,hoangjane@example.org
66,Minh Hoàng,Vũ,Tiêu hóa,08 6189 6619,hoangjohn@example.net
67,Quang Đức Nguyễn,Hoàng,Sản phụ khoa,01 0466313,janevu@example.org
68,Cô Phương Mai,Dương,Tâm thần,(08)128-2970,bvu@example.com
69,Trung Hữu Dương,Hoàng,Tiết niệu,+84-61-833 5860,buijohn@example.com
70,Ngọc Hoàng,Mai,Nhi khoa,(00)313-8192,idang@example.com
71,Mai Vũ,Dương,Thần kinh,+84-49-601 2404,janevu@example.net
72,Ông Trọng Bùi,Trần,Chấn thương chỉnh hình,(03)146-2748,buijohn@example.com
73,An Thị Mai,Trần,Thần kinh,01 7983 4409,tranjane@example.net
74,Chi Mai,Hoàng,Tiêu hóa,(07) 8283 2461,utran@example.net
75,Trung Phú Vũ,Nguyễn,Hô hấp,+84-90-956692,janehoang@example.org
76,Hạnh Vũ,Dương,Tim mạch,+84-53-536 7312,janevu@example.com
77,Thảo Phạm,Phạm,Miễn dịch,(00) 7511 7323,john35@example.net
